Individu,Lieu_depart,Temps_attente,Temps_trajet,Heure_depart,Heure_arrivee,Lieu_arrivee,Numero_trajet
73,Domicile,5.48863018340939,0.04,5.48863018340939,5.52863018340939,Entreprise,1
497,Rue,0.81,0.39,5.141794582656786,5.531794582656786,Rue,2
143,Rue,0.06,0.07,5.482300878085322,5.5523008780853225,Entreprise,2
426,Domicile,5.378440943298746,0.18,5.378440943298746,5.558440943298746,Parking,1
486,Sans,0.04,0.39,5.176698378715965,5.566698378715965,Domicile,2
434,Sans,5.1099272422735185,0.46,5.1099272422735185,5.569927242273518,Parking,1
52,Rue,0.26,0.31,5.261573214054758,5.571573214054759,Rue,3
316,Parking,0.95,0.19,5.387049002716625,5.577049002716626,Parking,2
46,Domicile,5.469480091497654,0.11,5.469480091497654,5.579480091497654,Parking,1
415,Domicile,4.801908183764706,0.78,4.801908183764706,5.581908183764706,Rue,1
209,Parking,1.12,0.39,5.200751777851619,5.590751777851619,Domicile,2
296,Domicile,5.477063907110381,0.12,5.477063907110381,5.597063907110381,Parking,1
476,Rue,5.347417264253732,0.25,5.347417264253732,5.597417264253732,Parking,1
386,Domicile,5.47826704708935,0.12,5.47826704708935,5.59826704708935,Entreprise,1
225,Entreprise,0.05,0.19,5.4149454479744845,5.604945447974485,Rue,7
359,Domicile,5.4874983403577025,0.12,5.4874983403577025,5.607498340357703,Parking,1
275,Domicile,5.386484073946359,0.23,5.386484073946359,5.616484073946359,Parking,1
94,Domicile,5.559832030256948,0.07,5.559832030256948,5.6298320302569484,Parking,1
483,Domicile,5.4835023301213734,0.15,5.4835023301213734,5.633502330121374,Sans,1
456,Domicile,5.274322158131292,0.37,5.274322158131292,5.644322158131292,Entreprise,1
77,Rue,0.32,0.28,5.365615069275725,5.645615069275725,Sans,2
381,Domicile,5.418165144135975,0.26,5.418165144135975,5.678165144135975,Rue,1
481,Domicile,5.379479420852243,0.32,5.379479420852243,5.699479420852243,Rue,1
182,Rue,5.351964575167181,0.35,5.351964575167181,5.701964575167181,Rue,1
422,Rue,5.559255511132826,0.15,5.559255511132826,5.7092555111328265,Parking,1
113,Rue,4.163442455681599,1.55,4.163442455681599,5.713442455681599,Rue,1
67,Rue,5.218240861358215,0.5,5.218240861358215,5.718240861358215,Rue,1
482,Domicile,4.840730688066615,0.88,4.840730688066615,5.720730688066615,Rue,1
142,Domicile,0.01,0.2,5.521302534908681,5.7213025349086815,Sans,2
265,Domicile,5.573931389263908,0.17,5.573931389263908,5.743931389263908,Entreprise,1
474,Parking,0.51,0.47,5.274197850376543,5.744197850376543,Domicile,2
98,Domicile,5.355996493274106,0.39,5.355996493274106,5.745996493274106,Entreprise,1
306,Domicile,5.6612844738685215,0.09,5.6612844738685215,5.751284473868521,Rue,1
60,Rue,0.15,0.14,5.61586574997615,5.75586574997615,Domicile,2
58,Rue,5.395872862312676,0.36,5.395872862312676,5.7558728623126765,Entreprise,1
281,Rue,0.66,0.08,5.684103336638896,5.764103336638896,Entreprise,2
93,Rue,5.447578268820529,0.32,5.447578268820529,5.76757826882053,Domicile,1
